,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
84,TOR,8,8.7,18.4,7.3,14.6,49.6,1.8,3.1,56,2.1,3.5,60.7,1,4.9,5.9,3.9,2.5,2.1,0.4,0.5,3.5,2.8,-1.1,D.DeRozan, K.Lowry, N.Powell, P.Siakam, J.Valanciunas
85,UTA,9,8.7,17.1,6.6,14.1,46.5,1.7,3.6,46.9,2.3,2.9,80.8,2.2,6.4,8.7,3.6,3,1.1,1.3,0.9,2.6,3.3,0.3,D.Favors, R.Gobert, G.Hayward, R.Hood, S.Mack
86,LAC,11,8.7,19.2,7.4,14.6,50.3,1.8,4.2,43.5,2.6,3.4,78.4,1.9,4.7,6.6,4.6,2.4,1.5,1.2,0.7,2.5,3.2,-0.8,R.Felton, D.Jordan, L.Mbah, J.Redick, A.Rivers
87,DEN,8,8.6,21.9,7.9,15.1,52.1,2.1,6,35.4,4,4.5,88.9,1.4,6,7.4,4.6,1.9,1.6,0.3,0.8,2.4,4.3,4,W.Chandler, D.Gallinari, G.Harris, N.Jokic, J.Murray
88,ORL,23,8.5,16.9,6.7,14.8,44.9,1.6,4.9,32.7,2,3,66.7,1.3,5.5,6.7,4,2.1,0.7,1,0.9,3.5,2.7,-1.7,D.Augustin, B.Biyombo, E.Fournier, A.Gordon, S.Ibaka
89,DAL,16,8.5,14.9,5.8,14.1,40.9,1.6,5.3,29.4,1.8,2.5,72.5,1.6,5.4,7.1,2.5,2.3,1.6,0.7,0.4,3.4,3.1,-0.3,H.Barnes, D.Finney-Smith, W.Matthews, S.Mejri, D.Williams
90,CHA,20,8.5,18.6,6.7,15.6,43.1,1.9,4.6,40.2,3.3,3.8,86.8,2.1,6.7,8.8,4.2,1.9,1.1,1.1,1.1,3.4,3.5,1,N.Batum, R.Hibbert, M.Kidd-Gilchrist, K.Walker, M.Williams
91,UTA,15,8.5,18.3,7.1,14,50.5,2,5,40,2.1,2.5,84.2,1.3,6.5,7.7,4.3,2.1,0.7,0.9,0.4,2.7,3.5,4.1,B.Diaw, D.Exum, R.Gobert, G.Hayward, R.Hood
92,LAC,12,8.4,17.7,6.6,13.8,47.6,1.8,5.6,32.8,2.7,3.4,78,1.4,6.3,7.7,2.4,2.9,0.8,0.7,0.5,4.3,3.6,0.7,J.Crawford, R.Felton, P.Pierce, A.Rivers, M.Speights
93,SAS,31,8.3,16.1,6.3,14,45,0.9,3,29.8,2.6,3.3,78.6,2.1,5.6,7.6,3.3,2.3,1.5,1.2,0.5,2.7,3,0.7,L.Aldridge, D.Dedmon, D.Green, K.Leonard, T.Parker
94,NYK,13,8.3,17.2,6.4,15.3,41.7,1.9,4.9,39.1,2.5,3.7,68.8,2,5.8,7.8,4,2.6,1.2,1.1,0.3,3.9,3.2,-1.4,C.Anthony, B.Jennings, C.Lee, J.Noah, K.Porzingis
95,PHI,14,8.2,17.4,6.7,14.8,45.4,2.1,5.9,35.4,1.9,2.4,79.4,2,5.9,7.9,5,2.9,0.6,0.8,0.9,3.1,3.4,2.6,R.Covington, J.Embiid, E.Ilyasova, T.McConnell, N.Stauskas
96,POR,10,8.1,18,6.8,13.1,51.9,2.2,4.8,45.8,2.2,2.5,88,0.8,5.1,5.9,3.5,2.1,1.2,0.8,0.9,2.8,2.8,0.8,A.Aminu, A.Crabbe, M.Leonard, C.McCollum, S.Napier
97,BKN,22,8.1,18.3,6.8,14,48.5,1.6,4,39.3,3,3.7,81.7,1.1,5.7,6.8,3.7,2.7,1,0.7,1,3.1,3,-1,B.Bogdanovic, T.Booker, S.Kilpatrick, B.Lopez, I.Whitehead
98,BOS,12,8.1,17.3,6.4,14.5,44.3,2.3,6.2,36.5,2.3,3.3,69.2,1.3,6.8,8,3.9,2.2,1.9,0.8,0.4,2.7,2.7,1.6,J.Brown, J.Crowder, A.Horford, A.Johnson, I.Thomas
99,DET,61,8.1,17.2,7,14.7,47.4,1.2,3.3,37.3,2,3.1,66.8,1.7,5.1,6.9,3.8,1.9,1.3,0.7,0.6,2.7,2.5,-1.3,K.Caldwell-Pope, A.Drummond, T.Harris, M.Morris, I.Smith
100,ATL,12,8.1,16.4,6.8,14.9,45.3,1.4,3.3,42.5,1.5,2.8,52.9,2.2,6,8.2,4.4,2.9,1,0.5,0.9,2.8,3,-1.2,T.Hardaway Jr., D.Howard, E.Ilyasova, T.Prince, D.Schroder
101,PHI,12,8,15.2,5.8,14.2,40.6,1.6,6.1,26,2.1,2.6,80.6,1.7,5.5,7.2,4.3,3.4,1.3,0.5,1.2,2.6,1.9,-3.6,J.Anderson, R.Holmes, T.Luwawu-Cabarrot, T.McConnell, D.Saric
